id,日期,新增,日活跃,月活跃,官网访问数,安卓下载数,苹果下载数,PWA下载数,window下载数,macOS下载数,总点击数,官网点击率%,金币消耗额,金币消耗数,网页主线(成功/失败/成功率),网页备用(成功/失败/成功率),总充值统计,APP充值统计,网站充值统计,留存统计,缓存数据（废弃）,操作时间
"1331","2026-03-31","583231"," 活跃：1262488  苹果活跃：0  安卓活跃：891455  PWA活跃：356123  Windows活跃：1450  Macos活跃：104  网站活跃：13356  "," 活跃：760996  苹果活跃：0  安卓活跃：435625  PWA活跃：311975  Windows活跃：640  Macos活跃：50  网站活跃：12706  ","187643","47862","0","39230","849","359","88300","47.06","13188.00","354"," 0  |  0 | 0.00% "," 0  |  0 | 0.00% ","  总-总充金额：23150  总-金币金额：13300  总-VIP金额：9850  总-总充人数：280  总-总充单数：288  总-新充金额：4150  总-新充人数：50  总-新充单数：51  总-老充金额：19000  总-老充人数：230  总-老充单数：237  总-订单数：478  总-成功率：58.58%  ","  APP-总充金额：22450  APP-金币金额：12600  APP-VIP金额：9850  APP-总充人数：274  APP-总充单数：281  APP-新充金额：3750  APP-新充人数：47  APP-新充单数：47  APP-老充金额：18700  APP-老充人数：227  APP-老充单数：234  APP-订单数：447  APP-成功率：61.30%  ","  网站-总充金额：700  网站-金币金额：700  网站-VIP金额：0  网站-总充人数：6  网站-总充单数：7  网站-新充金额：400  网站-新充人数：3  网站-新充单数：4  网站-老充金额：300  网站-老充人数：3  网站-老充单数：3  网站-订单数：31  网站-成功率：19.35%  "," 1日留存: 16685.00  3日留存: 5963.00  7日留存: 5925.00 "," 总充值：23150.00  金币充值：13300.00  VIP充值：9850.00  网站充值：700.00  APP充值：22450.00  新增充值：4750.00  成功订单数：288  新增充值占比：20.52% 支付成功率：60.38% ","2026-04-01 01:42:11"
"1330","2026-03-30","600448"," 活跃：1276661  苹果活跃：0  安卓活跃：879957  PWA活跃：377738  Windows活跃：1429  Macos活跃：87  网站活跃：17450  "," 活跃：891526  苹果活跃：0  安卓活跃：533874  PWA活跃：339795  Windows活跃：889  Macos活跃：59  网站活跃：16909  ","182153","44072","0","31546","689","364","76671","42.09","15734.00","396"," 0  |  0 | 0.00% "," 0  |  0 | 0.00% ","  总-总充金额：28650  总-金币金额：16900  总-VIP金额：11750  总-总充人数：328  总-总充单数：339  总-新充金额：7750  总-新充人数：84  总-新充单数：85  总-老充金额：20900  总-老充人数：244  总-老充单数：254  总-订单数：600  总-成功率：54.67%  ","  APP-总充金额：27650  APP-金币金额：15900  APP-VIP金额：11750  APP-总充人数：318  APP-总充单数：329  APP-新充金额：7350  APP-新充人数：80  APP-新充单数：81  APP-老充金额：20300  APP-老充人数：238  APP-老充单数：248  APP-订单数：566  APP-成功率：56.18%  ","  网站-总充金额：1000  网站-金币金额：1000  网站-VIP金额：0  网站-总充人数：10  网站-总充单数：10  网站-新充金额：400  网站-新充人数：4  网站-新充单数：4  网站-老充金额：600  网站-老充人数：6  网站-老充单数：6  网站-订单数：34  网站-成功率：29.41%  "," 1日留存: 17917.00  3日留存: 6352.00  7日留存: 6992.00 "," 总充值：28650.00  金币充值：16900.00  VIP充值：11750.00  网站充值：1000.00  APP充值：27650.00  新增充值：8350.00  成功订单数：339  新增充值占比：29.14% 支付成功率：56.78% ","2026-03-31 01:42:13"
"1329","2026-03-29","662824"," 活跃：1384737  苹果活跃：0  安卓活跃：951676  PWA活跃：403840  Windows活跃：1457  Macos活跃：87  网站活跃：27677  "," 活跃：1286502  苹果活跃：0  安卓活跃：864463  PWA活跃：393137  Windows活跃：1280  Macos活跃：74  网站活跃：27548  ","267965","53817","0","37358","783","503","92461","34.50","16016.00","424"," 0  |  0 | 0.00% "," 0  |  0 | 0.00% ","  总-总充金额：26950  总-金币金额：15600  总-VIP金额：11350  总-总充人数：309  总-总充单数：323  总-新充金额：8050  总-新充人数：84  总-新充单数：87  总-老充金额：18900  总-老充人数：225  总-老充单数：236  总-订单数：568  总-成功率：54.40%  ","  APP-总充金额：25950  APP-金币金额：14600  APP-VIP金额：11350  APP-总充人数：299  APP-总充单数：313  APP-新充金额：7350  APP-新充人数：77  APP-新充单数：80  APP-老充金额：18600  APP-老充人数：222  APP-老充单数：233  APP-订单数：524  APP-成功率：57.06%  ","  网站-总充金额：1000  网站-金币金额：1000  网站-VIP金额：0  网站-总充人数：10  网站-总充单数：10  网站-新充金额：700  网站-新充人数：7  网站-新充单数：7  网站-老充金额：300  网站-老充人数：3  网站-老充单数：3  网站-订单数：44  网站-成功率：22.73%  "," 1日留存: 19049.00  3日留存: 6954.00  7日留存: 11114.00 "," 总充值：26950.00  金币充值：15600.00  VIP充值：11350.00  网站充值：1000.00  APP充值：25950.00  新增充值：8750.00  成功订单数：323  新增充值占比：32.47% 支付成功率：56.87% ","2026-03-30 01:42:12"
"1328","2026-03-28","685456"," 活跃：1394752  苹果活跃：0  安卓活跃：949461  PWA活跃：404890  Windows活跃：573  Macos活跃：35  网站活跃：15040  "," 活跃：418503  苹果活跃：0  安卓活跃：272116  PWA活跃：130739  Windows活跃：573  Macos活跃：35  网站活跃：15040  ","314350","61574","0","39930","934","681","103119","32.80","18566.00","477"," 0  |  0 | 0.00% "," 0  |  0 | 0.00% ","  总-总充金额：27300  总-金币金额：18500  总-VIP金额：8800  总-总充人数：305  总-总充单数：319  总-新充金额：8050  总-新充人数：87  总-新充单数：92  总-老充金额：19250  总-老充人数：218  总-老充单数：227  总-订单数：564  总-成功率：54.08%  ","  APP-总充金额：25500  APP-金币金额：16700  APP-VIP金额：8800  APP-总充人数：289  APP-总充单数：301  APP-新充金额：7050  APP-新充人数：79  APP-新充单数：82  APP-老充金额：18450  APP-老充人数：210  APP-老充单数：219  APP-订单数：499  APP-成功率：57.92%  ","  网站-总充金额：1800  网站-金币金额：1800  网站-VIP金额：0  网站-总充人数：16  网站-总充单数：18  网站-新充金额：1000  网站-新充人数：8  网站-新充单数：10  网站-老充金额：800  网站-老充人数：8  网站-老充单数：8  网站-订单数：65  网站-成功率：24.62%  "," 1日留存: 19742.00  3日留存: 6799.00  7日留存: 8915.00 "," 总充值：27300.00  金币充值：18500.00  VIP充值：8800.00  网站充值：1800.00  APP充值：25500.00  新增充值：9100.00  成功订单数：319  新增充值占比：33.33% 支付成功率：56.66% ","2026-03-29 01:42:12"
"1327","2026-03-27","637848"," 活跃：1332003  苹果活跃：0  安卓活跃：904632  PWA活跃：384326  Windows活跃：0  Macos活跃：0  网站活跃：0  "," 活跃：0  苹果活跃：0  安卓活跃：0  PWA活跃：0  Windows活跃：0  Macos活跃：0  网站活跃：0  ","309148","53562","0","37727","979","854","93122","30.12","17205.00","432"," 0  |  0 | 0.00% "," 574064  |  67477 | 89.48% ","  总-总充金额：25100  总-金币金额：16300  总-VIP金额：8800  总-总充人数：271  总-总充单数：286  总-新充金额：7100  总-新充人数：77  总-新充单数：81  总-老充金额：18000  总-老充人数：194  总-老充单数：205  总-订单数：493  总-成功率：54.97%  ","  APP-总充金额：23600  APP-金币金额：14800  APP-VIP金额：8800  APP-总充人数：257  APP-总充单数：271  APP-新充金额：6700  APP-新充人数：73  APP-新充单数：77  APP-老充金额：16900  APP-老充人数：184  APP-老充单数：194  APP-订单数：452  APP-成功率：56.86%  ","  网站-总充金额：1500  网站-金币金额：1500  网站-VIP金额：0  网站-总充人数：14  网站-总充单数：15  网站-新充金额：400  网站-新充人数：4  网站-新充单数：4  网站-老充金额：1100  网站-老充人数：10  网站-老充单数：11  网站-订单数：41  网站-成功率：34.15%  "," 1日留存: 19258.00  3日留存: 7669.00  7日留存: 6508.00 "," 总充值：25100.00  金币充值：16300.00  VIP充值：8800.00  网站充值：1500.00  APP充值：23600.00  新增充值：7450.00  成功订单数：286  新增充值占比：29.68% 支付成功率：58.01% ","2026-03-28 01:42:12"
"1326","2026-03-26","664724"," 活跃：1351493  苹果活跃：0  安卓活跃：900313  PWA活跃：387149  Windows活跃：0  Macos活跃：0  网站活跃：0  "," 活跃：0  苹果活跃：0  安卓活跃：0  PWA活跃：0  Windows活跃：0  Macos活跃：0  网站活跃：0  ","0","0","0","34899","723","348","35970","0.00","16971.00","445"," 0  |  0 | 0.00% "," 470546  |  54895 | 89.55% ","  总-总充金额：25800  总-金币金额：17100  总-VIP金额：8700  总-总充人数：278  总-总充单数：294  总-新充金额：8300  总-新充人数：84  总-新充单数：91  总-老充金额：17500  总-老充人数：194  总-老充单数：203  总-订单数：535  总-成功率：51.96%  ","  APP-总充金额：24500  APP-金币金额：15800  APP-VIP金额：8700  APP-总充人数：267  APP-总充单数：282  APP-新充金额：7600  APP-新充人数：77  APP-新充单数：84  APP-老充金额：16900  APP-老充人数：190  APP-老充单数：198  APP-订单数：479  APP-成功率：55.74%  ","  网站-总充金额：1300  网站-金币金额：1300  网站-VIP金额：0  网站-总充人数：11  网站-总充单数：12  网站-新充金额：700  网站-新充人数：7  网站-新充单数：7  网站-老充金额：600  网站-老充人数：4  网站-老充单数：5  网站-订单数：56  网站-成功率：19.64%  "," 1日留存: 19828.00  3日留存: 8806.00  7日留存: 5046.00 "," 总充值：26000.00  金币充值：17100.00  VIP充值：8900.00  网站充值：1300.00  APP充值：24700.00  新增充值：9000.00  成功订单数：295  新增充值占比：34.62% 支付成功率：55.14% ","2026-03-27 01:42:13"
"1325","2026-03-25","623332"," 活跃：1314154  苹果活跃：0  安卓活跃：901367  PWA活跃：383240  Windows活跃：0  Macos活跃：0  网站活跃：0  "," 活跃：0  苹果活跃：0  安卓活跃：0  PWA活跃：0  Windows活跃：0  Macos活跃：0  网站活跃：0  ","166552","46181","0","30393","738","311","77623","46.61","19034.00","458"," 0  |  0 | 0.00% "," 394770  |  43626 | 90.05% ","  总-总充金额：30200  总-金币金额：19000  总-VIP金额：11200  总-总充人数：323  总-总充单数：345  总-新充金额：7850  总-新充人数：76  总-新充单数：79  总-老充金额：22350  总-老充人数：247  总-老充单数：266  总-订单数：593  总-成功率：54.47%  ","  APP-总充金额：28900  APP-金币金额：17700  APP-VIP金额：11200  APP-总充人数：311  APP-总充单数：332  APP-新充金额：7450  APP-新充人数：72  APP-新充单数：75  APP-老充金额：21450  APP-老充人数：239  APP-老充单数：257  APP-订单数：537  APP-成功率：57.91%  ","  网站-总充金额：1300  网站-金币金额：1300  网站-VIP金额：0  网站-总充人数：12  网站-总充单数：13  网站-新充金额：400  网站-新充人数：4  网站-新充单数：4  网站-老充金额：900  网站-老充人数：8  网站-老充单数：9  网站-订单数：56  网站-成功率：21.43%  "," 1日留存: 20477.00  3日留存: 11999.00  7日留存: 4837.00 "," 总充值：30200.00  金币充值：19000.00  VIP充值：11200.00  网站充值：1300.00  APP充值：28900.00  新增充值：8600.00  成功订单数：345  新增充值占比：28.48% 支付成功率：58.77% ","2026-03-26 01:42:11"
"1324","2026-03-24","624118"," 活跃：1310503  苹果活跃：2  安卓活跃：904183  PWA活跃：372721  Windows活跃：0  Macos活跃：0  网站活跃：0  "," 活跃：0  苹果活跃：0  安卓活跃：0  PWA活跃：0  Windows活跃：0  Macos活跃：0  网站活跃：0  ","198010","48031","0","34622","1039","445","84137","42.49","17770.00","469"," 0  |  0 | 0.00% "," 393297  |  37125 | 91.37% ","  总-总充金额：28200  总-金币金额：15900  总-VIP金额：12300  总-总充人数：331  总-总充单数：350  总-新充金额：6600  总-新充人数：69  总-新充单数：73  总-老充金额：21600  总-老充人数：262  总-老充单数：277  总-订单数：623  总-成功率：53.13%  ","  APP-总充金额：26500  APP-金币金额：14200  APP-VIP金额：12300  APP-总充人数：321  APP-总充单数：334  APP-新充金额：6100  APP-新充人数：64  APP-新充单数：68  APP-老充金额：20400  APP-老充人数：257  APP-老充单数：266  APP-订单数：574  APP-成功率：55.92%  ","  网站-总充金额：1700  网站-金币金额：1700  网站-VIP金额：0  网站-总充人数：10  网站-总充单数：16  网站-新充金额：500  网站-新充人数：5  网站-新充单数：5  网站-老充金额：1200  网站-老充人数：5  网站-老充单数：11  网站-订单数：49  网站-成功率：20.41%  "," 1日留存: 20637.00  3日留存: 9044.00  7日留存: 4622.00 "," 总充值：28200.00  金币充值：15900.00  VIP充值：12300.00  网站充值：1700.00  APP充值：26500.00  新增充值：6850.00  成功订单数：350  新增充值占比：24.29% 支付成功率：56.27% ","2026-03-25 01:42:12"
"1323","2026-03-23","655143"," 活跃：1338764  苹果活跃：1  安卓活跃：903635  PWA活跃：373016  Windows活跃：0  Macos活跃：0  网站活跃：0  "," 活跃：0  苹果活跃：0  安卓活跃：0  PWA活跃：0  Windows活跃：0  Macos活跃：0  网站活跃：0  ","0","0","0","0","0","293","293","0.00","38345.00","570"," 0  |  0 | 0.00% "," 420931  |  39032 | 91.51% ","  总-总充金额：35750  总-金币金额：24100  总-VIP金额：11650  总-总充人数：354  总-总充单数：379  总-新充金额：10150  总-新充人数：106  总-新充单数：114  总-老充金额：25600  总-老充人数：248  总-老充单数：265  总-订单数：607  总-成功率：58.32%  ","  APP-总充金额：33450  APP-金币金额：21800  APP-VIP金额：11650  APP-总充人数：335  APP-总充单数：359  APP-新充金额：8850  APP-新充人数：93  APP-新充单数：101  APP-老充金额：24600  APP-老充人数：242  APP-老充单数：258  APP-订单数：549  APP-成功率：61.02%  ","  网站-总充金额：2300  网站-金币金额：2300  网站-VIP金额：0  网站-总充人数：19  网站-总充单数：20  网站-新充金额：1300  网站-新充人数：13  网站-新充单数：13  网站-老充金额：1000  网站-老充人数：6  网站-老充单数：7  网站-订单数：58  网站-成功率：32.76%  "," 1日留存: 24068.00  3日留存: 7177.00  7日留存: 5196.00 "," 总充值：35750.00  金币充值：24100.00  VIP充值：11650.00  网站充值：2300.00  APP充值：33450.00  新增充值：10850.00  成功订单数：379  新增充值占比：30.35% 支付成功率：62.96% ","2026-03-24 01:42:11"
"1322","2026-03-22","757509"," 活跃：1481105  苹果活跃：0  安卓活跃：968814  PWA活跃：411019  Windows活跃：0  Macos活跃：0  网站活跃：0  "," 活跃：0  苹果活跃：0  安卓活跃：0  PWA活跃：0  Windows活跃：0  Macos活跃：0  网站活跃：0  ","200368","53902","0","41578","901","362","96743","48.28","17546.00","461"," 0  |  0 | 0.00% "," 432333  |  47358 | 90.13% ","  总-总充金额：33950  总-金币金额：18800  总-VIP金额：15150  总-总充人数：380  总-总充单数：408  总-新充金额：10550  总-新充人数：97  总-新充单数：109  总-老充金额：23400  总-老充人数：283  总-老充单数：299  总-订单数：671  总-成功率：56.63%  ","  APP-总充金额：31650  APP-金币金额：16500  APP-VIP金额：15150  APP-总充人数：358  APP-总充单数：386  APP-新充金额：8850  APP-新充人数：81  APP-新充单数：93  APP-老充金额：22800  APP-老充人数：277  APP-老充单数：293  APP-订单数：616  APP-成功率：58.12%  ","  网站-总充金额：2300  网站-金币金额：2300  网站-VIP金额：0  网站-总充人数：22  网站-总充单数：22  网站-新充金额：1700  网站-新充人数：16  网站-新充单数：16  网站-老充金额：600  网站-老充人数：6  网站-老充单数：6  网站-订单数：55  网站-成功率：40.00%  "," 1日留存: 22328.00  3日留存: 6610.00  7日留存: 5488.00 "," 总充值：33950.00  金币充值：18800.00  VIP充值：15150.00  网站充值：2300.00  APP充值：31650.00  新增充值：11000.00  成功订单数：408  新增充值占比：32.40% 支付成功率：60.99% ","2026-03-23 01:42:13"
